n;mae
5;0.140105501
10;0.145987988
15;0.138537273
20;0.137088746
25;0.141175434
30;0.137672618
35;0.137373358
40;0.137038141
45;0.136091903
50;0.140250593
55;0.136972457
60;0.140916705
65;0.141185611
70;0.138523877
75;0.138210684
80;0.137796506
85;0.139942333
90;0.133391619
95;0.134038731
100;0.139334857
105;0.134712085
110;0.136892632
115;0.135792553
120;0.138193846
125;0.137761801
130;0.134499773
135;0.13462092
140;0.136133075
145;0.138776273
150;0.139535978
155;0.137580588
160;0.137691677
165;0.137973398
170;0.135877684
175;0.134933248
180;0.138826296
185;0.136841699
190;0.140191182
195;0.136028111
200;0.138475031
205;0.141219541
210;0.136956453
215;0.138883382
220;0.141654342
225;0.139052108
230;0.139003351
235;0.13970156
240;0.135760933
245;0.136941791
250;0.134978205
255;0.136569113
260;0.13577719
265;0.131798118
270;0.137340635
275;0.140151903
280;0.137082219
285;0.137501746
290;0.136499047
295;0.139373854
5;0.143169016
10;0.140842468
15;0.135970756
20;0.13658908
25;0.136587933
30;0.134706497
35;0.13951607
40;0.136407495
45;0.135448352
50;0.138494372
55;0.135984138
60;0.137835667
65;0.135730237
70;0.142305166
75;0.137055606
80;0.139642313
85;0.135568857
90;0.14089945
95;0.136750087
100;0.136584237
105;0.136071444
110;0.13871558
115;0.131812587
120;0.139574856
125;0.139154077
130;0.138469175
135;0.137605384
140;0.134391963
145;0.135772273
150;0.138806164
155;0.139517069
160;0.138061717
165;0.13789998
170;0.134996459
175;0.135907412
180;0.136759505
185;0.137652233
190;0.137022123
195;0.138141811
200;0.13624756
205;0.137748331
210;0.134181052
215;0.130233303
220;0.141054288
225;0.134574473
230;0.138444826
235;0.138177708
240;0.135744452
245;0.137271345
250;0.135600448
255;0.13418135
260;0.138387069
265;0.136487558
270;0.13863039
275;0.13955079
280;0.138133451
285;0.136398211
290;0.135901138
295;0.135468066
5;0.144239113
10;0.140343904
15;0.140963107
20;0.137211055
25;0.141705111
30;0.140648857
35;0.146714896
40;0.135263264
45;0.135360137
50;0.139924869
55;0.136698559
60;0.137693316
65;0.138855964
70;0.137326017
75;0.137470081
80;0.136906222
85;0.137421116
90;0.136837766
95;0.13792026
100;0.13671957
105;0.140159607
110;0.135658875
115;0.140127599
120;0.137080312
125;0.139608473
130;0.138803408
135;0.137197062
140;0.136620879
145;0.134311467
150;0.135441229
155;0.137144104
160;0.137959182
165;0.13440688
170;0.135602102
175;0.132295236
180;0.136985153
185;0.135010451
190;0.136055827
195;0.132515207
200;0.135902077
205;0.140152395
210;0.136558294
215;0.136776492
220;0.144529298
225;0.139242068
230;0.13994357
235;0.137603566
240;0.139497623
245;0.138682961
250;0.136823207
255;0.136014685
260;0.133234784
265;0.135161743
270;0.134969264
275;0.134798467
280;0.140289247
285;0.138879895
290;0.13623248
295;0.138900369
5;0.141781166
10;0.140675262
15;0.13955453
20;0.143308058
25;0.135637775
30;0.139478788
35;0.138150021
40;0.138950959
45;0.140833303
50;0.136707157
55;0.136661053
60;0.136335611
65;0.138872445
70;0.13614586
75;0.143802643
80;0.13591738
85;0.139156833
90;0.137894198
95;0.139193133
100;0.13639544
105;0.138011411
110;0.136213377
115;0.136496782
120;0.139373869
125;0.136986017
130;0.138988763
135;0.137078077
140;0.138124436
145;0.138096005
150;0.141729265
155;0.136539727
160;0.139049217
165;0.137732163
170;0.144778684
175;0.138376877
180;0.135444745
185;0.1348093
190;0.137037337
195;0.138018489
200;0.138879925
205;0.136834353
210;0.138432562
215;0.137996331
220;0.138858944
225;0.142221719
230;0.139672339
235;0.139269933
240;0.137425989
245;0.13299787
250;0.137981638
255;0.137063459
260;0.13999854
265;0.136566699
270;0.138444781
275;0.134824693
280;0.142316744
285;0.139915705
290;0.14058128
295;0.139985695
5;0.14209047
10;0.143600136
15;0.137234807
20;0.141192332
25;0.138554782
30;0.136732593
35;0.140263215
40;0.143527538
45;0.137990892
50;0.135171488
55;0.138490766
60;0.136377558
65;0.139583662
70;0.147178635
75;0.135365993
80;0.137848318
85;0.136773795
90;0.140192166
95;0.13849692
100;0.137563497
105;0.138889655
110;0.135192752
115;0.137936488
120;0.140474916
125;0.138896391
130;0.136061445
135;0.141214892
140;0.135728925
145;0.139644563
150;0.141325101
155;0.137566268
160;0.137744263
165;0.134818316
170;0.138792664
175;0.139407247
180;0.132048547
185;0.136296049
190;0.137148216
195;0.138780728
200;0.138658807
205;0.135800853
210;0.135399505
215;0.140950873
220;0.136934012
225;0.138531104
230;0.13484861
235;0.136008814
240;0.136924386
245;0.139752388
250;0.143200532
255;0.137802765
260;0.141762733
265;0.135139763
270;0.138798341
275;0.135991514
280;0.142782524
285;0.139561415
290;0.138412759
295;0.134960562
5;0.145316422
10;0.136659563
15;0.139106378
20;0.14170976
25;0.141066775
30;0.133850157
35;0.137036249
40;0.137024939
45;0.142289728
50;0.136215553
55;0.139442801
60;0.133251861
65;0.142273173
70;0.139662832
75;0.135945484
80;0.140457094
85;0.13678208
90;0.137401775
95;0.136996016
100;0.135769099
105;0.13844347
110;0.139093652
115;0.140121147
120;0.134039685
125;0.137288466
130;0.138179392
135;0.139509588
140;0.139005035
145;0.137865826
150;0.135698557
155;0.139313519
160;0.137270495
165;0.137308851
170;0.135087907
175;0.134258375
180;0.136994362
185;0.139944598
190;0.135497808
195;0.135493204
200;0.142408594
205;0.137162775
210;0.138761625
215;0.136881247
220;0.136123449
225;0.13691321
230;0.137312949
235;0.136279583
240;0.139592335
245;0.139381379
250;0.135239616
255;0.137544736
260;0.140198097
265;0.13438338
270;0.139550969
275;0.138641447
280;0.137858987
285;0.138706803
290;0.14040333
295;0.136112973
5;0.142038658
10;0.144438729
15;0.146397844
20;0.141737774
25;0.138321966
30;0.13871485
35;0.133048847
40;0.140869647
45;0.139905199
50;0.137478366
55;0.136865288
60;0.140048042
65;0.136367694
70;0.136248797
75;0.140169561
80;0.135813966
85;0.138414517
90;0.13724795
95;0.134166747
100;0.137818217
105;0.13844569
110;0.13544865
115;0.140191972
120;0.132454976
125;0.138198048
130;0.13498804
135;0.14040105
140;0.13783969
145;0.136075273
150;0.136464715
155;0.135482341
160;0.138522461
165;0.137225151
170;0.135817677
175;0.136085883
180;0.137742057
185;0.135279223
190;0.137324512
195;0.134510756
200;0.139928237
205;0.136779085
210;0.137381613
215;0.137046158
220;0.137771323
225;0.137654603
230;0.141859889
235;0.139344037
240;0.141976446
245;0.137330845
250;0.133415133
255;0.137009427
260;0.136250362
265;0.137524903
270;0.140010923
275;0.138820037
280;0.138910487
285;0.135792971
290;0.140262976
295;0.137143373
5;0.14174968
10;0.144127682
15;0.135487884
20;0.141235664
25;0.144193411
30;0.138636753
35;0.136664718
40;0.142539859
45;0.133871481
50;0.138728678
55;0.1345319
60;0.134852171
65;0.140475199
70;0.138484329
75;0.139549345
80;0.1379513
85;0.139463559
90;0.138817385
95;0.139880463
100;0.137934551
105;0.137496591
110;0.13896504
115;0.137707949
120;0.137884721
125;0.136657357
130;0.141489372
135;0.136211783
140;0.138118356
145;0.137278885
150;0.13579388
155;0.137076139
160;0.135261044
165;0.136309937
170;0.134871125
175;0.135289699
180;0.138969868
185;0.138996363
190;0.135457784
195;0.138576657
200;0.138938338
205;0.136911109
210;0.137285113
215;0.14143011
220;0.135193884
225;0.138185278
230;0.132885873
235;0.136492074
240;0.139661565
245;0.138823166
250;0.138150468
255;0.136848465
260;0.133779347
265;0.138348475
270;0.13777937
275;0.134733498
280;0.133295074
285;0.136363521
290;0.136355311
295;0.139535457
5;0.144672826
10;0.145730823
15;0.141459778
20;0.141310915
25;0.140893534
30;0.138755515
35;0.136631981
40;0.138840586
45;0.140250549
50;0.13798818
55;0.142764896
60;0.136369869
65;0.138758212
70;0.136224866
75;0.132721588
80;0.139461949
85;0.140806407
90;0.139556527
95;0.137383536
100;0.140353307
105;0.139046118
110;0.135111377
115;0.139755189
120;0.134067014
125;0.134363815
130;0.1352043
135;0.137496889
140;0.137523532
145;0.134520441
150;0.138088956
155;0.135492131
160;0.135098413
165;0.138554528
170;0.136376053
175;0.138069153
180;0.137669742
185;0.141157269
190;0.139828607
195;0.135494441
200;0.138548404
205;0.134195685
210;0.136087969
215;0.143255979
220;0.14125973
225;0.136591077
230;0.135059103
235;0.137517735
240;0.13855508
245;0.139844596
250;0.139210522
255;0.138615146
260;0.142545283
265;0.134792313
270;0.138766199
275;0.137568638
280;0.137220964
285;0.134925649
290;0.137086555
295;0.141435266
5;0.142207339
10;0.141876221
15;0.140532702
20;0.142138794
25;0.134781748
30;0.136452556
35;0.136829376
40;0.143844202
45;0.139906138
50;0.138160199
55;0.135122418
60;0.135932133
65;0.137003928
70;0.140792951
75;0.141552478
80;0.138022736
85;0.137308151
90;0.139818564
95;0.141866803
100;0.137106612
105;0.138658762
110;0.138501197
115;0.136194363
120;0.135089174
125;0.136722818
130;0.139296502
135;0.137018353
140;0.13408266
145;0.137223527
150;0.135656998
155;0.135114402
160;0.13782233
165;0.138188288
170;0.136999324
175;0.134198472
180;0.137807027
185;0.139005288
190;0.136858404
195;0.137023732
200;0.136263698
205;0.134794265
210;0.137263775
215;0.135018706
220;0.13362509
225;0.140537292
230;0.136402637
235;0.138822094
240;0.140352979
245;0.138376236
250;0.136014625
255;0.136504114
260;0.135958761
265;0.134235501
270;0.137753785
275;0.1391574
280;0.136744112
285;0.137904018
290;0.135930747
295;0.135449961
5;0.141928017
10;0.142513767
15;0.142206699
20;0.139254525
25;0.134214193
30;0.138786659
35;0.138585269
40;0.137823418
45;0.140869871
50;0.139081076
55;0.136608988
60;0.137591138
65;0.140292183
70;0.134237692
75;0.138936937
80;0.138801917
85;0.136920825
90;0.139471248
95;0.138488814
100;0.139172614
105;0.138104916
110;0.133579552
115;0.132060081
120;0.135849416
125;0.137654811
130;0.135464653
135;0.135901168
140;0.137203872
145;0.137248665
150;0.143259153
155;0.137055114
160;0.134990051
165;0.135345027
170;0.137535617
175;0.137492225
180;0.137505576
185;0.138402611
190;0.14075391
195;0.135647446
200;0.137482256
205;0.136437729
210;0.137386531
215;0.139866307
220;0.135298193
225;0.138522997
230;0.134217486
235;0.135856003
240;0.138256669
245;0.132529587
